{,#N/A,German,Spanish,Brazilian Portuguese,Russian,Japanese,Simplified Chinese,Italian,French,Korean,Turkish,Hungarian
"config.Festivals.description: ""This setting activates Eleanor at some vanilla festivals. However, Eleanor doesn't have any festival clothes for now, so Eleanor'll use its default. As of 0.9.0-beta.3 it includes unique non-marriage dialogues (year 1 only) for each festival she'll attend and one marriage dialogue. Default setting: true."",","This setting activates Eleanor at some vanilla festivals. However, Eleanor doesn't have any festival clothes for now, so Eleanor'll use its default. As of 0.9.0-beta.3 it includes unique non-marriage dialogues (year 1 only) for each festival she'll attend and one marriage dialogue. Default setting: true.","Diese Einstellung aktiviert Eleanor auf einigen Vanilla-Festivals. Allerdings hat Eleanor im Moment keine Festivalkleidung, daher wird Eleanor die Standardkleidung verwenden. Ab 0.9.0-beta.3 sind einzigartige Nicht-Ehe-Dialoge (nur Jahr 1) für jedes Festival, an dem sie teilnimmt, und ein Heirats-Dialog enthalten. Standardeinstellung: true.","Esta configuración activa a Eleanor en algunos festivales de vainilla. Sin embargo, Eleanor no tiene ropa de festival por ahora, por lo que usará la ropa predeterminada. A partir de 0.9.0-beta.3, incluye diálogos no matrimoniales únicos (solo el año 1) para cada festival al que asistirá y un diálogo matrimonial. Configuración predeterminada: verdadero.","Esta configuração ativa Eleanor em alguns festivais de baunilha. Porém, Eleanor não tem nenhuma roupa de festival por enquanto, então Eleanor usará o padrão. A partir da versão 0.9.0-beta.3, inclui diálogos exclusivos não relacionados ao casamento (apenas no ano 1) para cada festival que ela participará e um diálogo sobre casamento. Configuração padrão: verdadeiro.","Этот параметр активирует Элеонору на некоторых ванильных фестивалях. Однако у Элеоноры на данный момент нет праздничной одежды, поэтому Элеонора будет использовать одежду по умолчанию. Начиная с версии 0.9.0-beta.3, он включает в себя уникальные диалоги, не связанные с браком (только 1-й год), для каждого фестиваля, который она посетит, и один диалог о браке. Настройка по умолчанию: правда.",この設定により、一部のバニラフェスティバルでエレノアがアクティブになります。ただし、エレノアは今のところ祭り衣装を持っていないため、エレノアはデフォルトを使用します。 0.9.0-beta.3 の時点では、彼女が参加するフェスティバルごとに固有の非結婚ダイアログ (1 年目のみ) と 1 つの結婚ダイアログが含まれています。デフォルト設定: true。,此设置会在一些原版节日中激活埃莉诺。然而，埃莉诺目前没有任何节日服装，因此埃莉诺将使用默认服装。从 0.9.0-beta.3 开始，它包括她将参加的每个节日的独特非婚姻对话（仅限第一年）和一场婚姻对话。默认设置：true。,"Questa impostazione attiva Eleanor in alcuni festival alla vaniglia. Tuttavia, Eleanor non ha abiti da festival per ora, quindi Eleanor utilizzerà quello predefinito. A partire dalla versione 0.9.0-beta.3 include dialoghi non matrimoniali unici (solo anno 1) per ogni festival a cui parteciperà e un dialogo matrimoniale. Impostazione predefinita: vero.","Ce paramètre active Eleanor lors de certains festivals de vanille. Cependant, Eleanor n'a pas de vêtements de festival pour l'instant, donc Eleanor utilisera ses vêtements par défaut. Depuis la version 0.9.0-beta.3, il comprend des dialogues uniques hors mariage (année 1 uniquement) pour chaque festival auquel elle assistera et un dialogue sur le mariage. Paramètre par défaut : vrai.",이 설정은 일부 바닐라 페스티벌에서 Eleanor를 활성화합니다. 하지만 Eleanor는 현재 축제 의상이 없으므로 Eleanor는 기본값을 사용합니다. 0.9.0-beta.3부터 여기에는 그녀가 참석할 각 축제에 대한 고유한 비결혼 대화(1년차에만 해당)와 하나의 결혼 대화가 포함됩니다. 기본 설정: true.,"Bu ayar Eleanor'u bazı vanilya festivallerinde etkinleştirir. Ancak Eleanor'un şimdilik herhangi bir festival kıyafeti yok, dolayısıyla Eleanor varsayılan kıyafetini kullanacak. 0.9.0-beta.3'ten itibaren katılacağı her festival için benzersiz evlilik dışı diyaloglar (yalnızca 1. yıl) ve bir evlilik diyaloğunu içerir. Varsayılan ayar: doğru.","Ez a beállítás aktiválja Eleanort néhány vaníliafesztiválon. Eleanornak azonban egyelőre nincs fesztiválruhája, így Eleanor'l az alapértelmezettet fogja használni. A 0.9.0-beta.3 verziótól kezdve egyedi, házasságon kívüli párbeszédeket tartalmaz (csak az 1. évben) minden egyes fesztiválhoz, amelyen részt vesz, és egy házassági párbeszédet. Alapértelmezett beállítás: igaz."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.Marriage.name: ""Marriage"",",Marriage,Hochzeit,Casamiento,Casado,Свадьба,結婚,婚姻,Matrimonio,Mariage,결혼,Evlilik,Házasság
"config.Marriage.values.true: ""true"",",true,WAHR,verdadero,verdadeiro,истинный,真実,真的,VERO,vrai,진실,doğru,igaz
"config.Marriage.values.false: ""false"",",false,FALSCH,FALSO,falso,ЛОЖЬ,間違い,错误的,falso,FAUX,거짓,YANLIŞ,hamis
"config.Marriage.description: ""! PRE-ALPHA VERSION --> = U = N = U = S = A = B = L = E =  - WILL RESULT IN GAME (BREAKING?) ERRORS ! This setting lets you choose if Eleanor can be married. As of 0.9.0-beta.3, it should include A LOT of ERRORS! Default setting: false. = Turn on at your own risk! ="",","! PRE-ALPHA VERSION --> = U = N = U = S = A = B = L = E =  - WILL RESULT IN GAME (BREAKING?) ERRORS ! This setting lets you choose if Eleanor can be married. As of 0.9.0-beta.3, it should include A LOT of ERRORS! Default setting: false. = Turn on at your own risk! =","! PRE-ALPHA-VERSION --> = U = N = U = S = A = B = L = E = - WIRD ZU SPIELFEHLER FÜHREN! Mit dieser Einstellung können Sie auswählen, ob Eleanor verheiratet werden kann. Ab 0.9.0-beta.3 sollte es VIELE FEHLER enthalten! Standardeinstellung: false. = Einschalten auf eigene Gefahr! =","! VERSIÓN PRE-ALFA --> = U = N = U = S = A = B = L = E = - ¡PRODUCRÁ EN ERRORES DEL JUEGO (¿ROMPIEZA?) Esta configuración le permite elegir si Eleanor puede casarse. ¡A partir de 0.9.0-beta.3, debería incluir MUCHOS ERRORES! Configuración predeterminada: falso. = ¡Enciéndelo bajo tu propia responsabilidad! =","! VERSÃO PRÉ-ALFA --> = U = N = U = S = A = B = L = E = - RESULTARÁ EM ERROS DE JOGO (QUEBRA?)! Esta configuração permite escolher se Eleanor pode se casar. A partir de 0.9.0-beta.3, deve incluir MUITOS ERROS! Configuração padrão: falso. = Ligue por sua conta e risco! =","! ПРЕ-АЛЬФА-ВЕРСИЯ --> = U = N = U = S = A = B = L = E = - ПРИВЕДЕТ К ИГРОВЫМ (СЛОМЫМ?) ОШИБКАМ! Этот параметр позволяет вам выбрать, может ли Элеонора выйти замуж. Начиная с версии 0.9.0-beta.3, она должна содержать МНОГО ОШИБОК! Настройка по умолчанию: ложь. = Включайте на свой страх и риск! =",！プレアルファ版 --> = U = N = U = S = A = B = L = E = - ゲーム (破損?) エラーが発生します。この設定では、エレノアが結婚できるかどうかを選択できます。 0.9.0-beta.3 の時点では、多くのエラーが含まれているはずです。デフォルト設定: false。 = 自己責任でオンにしてください。 =,！ PRE-ALPHA 版本 --> = U = N = U = S = A = B = L = E = - 将导致游戏（破坏？）错误！此设置允许您选择埃莉诺是否可以结婚。从 0.9.0-beta.3 开始，它应该包含很多错误！默认设置：假。 = 打开需要您自担风险！ =,"! VERSIONE PRE-ALPHA --> = U = N = U = S = A = B = L = E = - RISULTERÀ IN ERRORI DI GIOCO (ROTTURA?)! Questa impostazione ti consente di scegliere se Eleanor può essere sposata. A partire dalla versione 0.9.0-beta.3, dovrebbe includere MOLTI ERRORI! Impostazione predefinita: falso. = Accendilo a tuo rischio e pericolo! =","! VERSION PRÉ-ALPHA --> = U = N = U = S = A = B = L = E = - ENTRAÎNERA DES ERREURS DE JEU (RUPTURE ?) ! Ce paramètre vous permet de choisir si Eleanor peut être mariée. À partir de la version 0.9.0-beta.3, il devrait inclure BEAUCOUP d'ERREURS ! Paramètre par défaut : faux. = Allumez à vos propres risques ! =",! 알파 이전 버전 --> = U = N = U = S = A = B = L = E = - 게임에 오류가 발생합니다(중요?). 이 설정을 사용하면 Eleanor가 결혼할 수 있는지 여부를 선택할 수 있습니다. 0.9.0-beta.3부터 많은 오류가 포함되어야 합니다! 기본 설정: 거짓. = 켜는 데 따른 책임은 본인에게 있습니다! =,"! ALFA ÖNCESİ VERSİYON --> = U = N = U = S = A = B = L = E = - OYUN (KIRILMA?) HATALARINA NEDEN OLUR ! Bu ayar Eleanor'un evlenip evlenemeyeceğini seçmenizi sağlar. 0.9.0-beta.3'ten itibaren, BİRÇOK HATA içermesi gerekiyor! Varsayılan ayar: yanlış. = Riski size ait olmak üzere açın! =","! ALFA ELŐTT VÁLTOZAT --> = U = N = U = S = A = B = L = E = - A JÁTÉK (TÖRÉS?) HIBÁKAT EREDMÉNYEZIK! Ezzel a beállítással kiválaszthatja, hogy Eleanor férjhez mehet-e. A 0.9.0-beta.3 verziótól kezdve SOK HIBÁT kell tartalmaznia! Alapértelmezett beállítás: false. = Saját felelősségre kapcsolja be! ="
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.14hearts-variants.name: ""14 hearts event variant"",",14 hearts event variant,14-Herzen-Eventvariante,Variante de evento de 14 corazones.,Variante do evento de 14 corações,Вариант события 14 сердец,ハートイベントバリエーション14個,14心事件变体,Variante evento 14 cuori,Variante d'événement à 14 cœurs,하트 14개 이벤트 변형,14 kalp etkinliği çeşidi,14 szíves eseményváltozat
"config.14hearts-variants.values.short: ""short"",",short,kurz,corto,curto,короткий,短い,短的,corto,court,짧은,kısa,rövid
"config.14hearts-variants.values.long: ""long"",",long,lang,largo,longo,длинный,長さ,长的,lungo,long,긴,uzun,hosszú
"config.14hearts-variants.description: ""This setting lets you choose the variant of Eleanor's 14hearts event. You can choose between short and long versions, which contain of 5 automatically triggered events. = The short version has a fully different outcome than the long one! = Default setting: long."",","This setting lets you choose the variant of Eleanor's 14hearts event. You can choose between short and long versions, which contain of 5 automatically triggered events. = The short version has a fully different outcome than the long one! = Default setting: long.","Mit dieser Einstellung können Sie die Variante von Eleanors 14hearts-Event auswählen. Sie können zwischen Kurz- und Langversionen wählen, die jeweils 5 automatisch ausgelöste Ereignisse enthalten. = Die Kurzversion hat ein völlig anderes Ergebnis als die Langversion! = Standardeinstellung: lang.","Esta configuración te permite elegir la variante del evento 14 corazones de Eleanor. Puede elegir entre versiones cortas y largas, que contienen 5 eventos activados automáticamente. = ¡La versión corta tiene un resultado completamente diferente al de la larga! = Configuración predeterminada: larga.","Esta configuração permite escolher a variante do evento 14hearts de Eleanor. Você pode escolher entre versões curtas e longas, que contêm 5 eventos acionados automaticamente. = A versão curta tem um resultado totalmente diferente da longa! = Configuração padrão: longo.","Этот параметр позволяет вам выбрать вариант события Элеоноры «14 сердец». Вы можете выбирать между короткой и длинной версиями, которые содержат 5 автоматически запускаемых событий. = Короткая версия имеет совершенно другой результат, чем длинная! = Настройка по умолчанию: длинный.",この設定では、エレノアの 14hearts イベントのバリエーションを選択できます。自動的にトリガーされる 5 つのイベントが含まれる短いバージョンと長いバージョンから選択できます。 = ショートバージョンはロングバージョンとはまったく異なる結果になります! = デフォルト設定: 長い。,此设置允许您选择 Eleanor 的 14hearts 事件的变体。您可以选择短版本和长版本，其中包含 5 个自动触发的事件。 = 短版本的结果与长版本完全不同！ = 默认设置：长。,"Questa impostazione ti consente di scegliere la variante dell'evento 14cuori di Eleonora. Puoi scegliere tra la versione breve e quella lunga, che contengono 5 eventi attivati ​​automaticamente. = La versione breve ha un risultato completamente diverso da quella lunga! = Impostazione predefinita: lungo.","Ce paramètre vous permet de choisir la variante de l'événement 14hearts d'Eleanor. Vous pouvez choisir entre des versions courtes et longues, qui contiennent 5 événements déclenchés automatiquement. = La version courte a un résultat complètement différent de la version longue ! = Paramètre par défaut : long.",이 설정을 사용하면 Eleanor의 14hearts 이벤트 변형을 선택할 수 있습니다. 5개의 자동으로 실행되는 이벤트가 포함된 짧은 버전과 긴 버전 중에서 선택할 수 있습니다. = 짧은 버전은 긴 버전과 전혀 다른 결과를 보여줍니다! = 기본 설정: 길다.,"Bu ayar Eleanor'un 14kalp etkinliğinin çeşidini seçmenizi sağlar. Otomatik olarak tetiklenen 5 olayı içeren kısa ve uzun versiyonlar arasında seçim yapabilirsiniz. = Kısa versiyon, uzun versiyondan tamamen farklı bir sonuca sahip! = Varsayılan ayar: uzun.","Ezzel a beállítással kiválaszthatja Eleanor 14hearts eseményének változatát. Választhat rövid és hosszú verziók között, amelyek 5 automatikusan kiváltott eseményt tartalmaznak. = A rövid változatnak teljesen más az eredménye, mint a hosszúnak! = Alapértelmezett beállítás: hosszú."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.14hearts-commented.name: ""14 hearts event comments"",",14 hearts event comments,14 Kommentare zum Herz-Event,Comentarios del evento 14 corazones.,Comentários do evento de 14 corações,Комментарии к событию 14 сердец,ハートイベントコメント14個,14颗心活动评论,14 commenti sull'evento dei cuori,Commentaires sur l'événement 14 cœurs,하트 14개 이벤트 댓글,14 kalp etkinliği yorumları,14 szív esemény megjegyzései
"config.14hearts-commented.values.true: ""true"",",true,WAHR,verdadero,verdadeiro,истинный,真実,真的,VERO,vrai,진실,doğru,igaz
"config.14hearts-commented.values.false: ""false"",",false,FALSCH,FALSO,falso,ЛОЖЬ,間違い,错误的,falso,FAUX,거짓,YANLIŞ,hamis
"config.14hearts-commented.description: ""This setting lets you choose if Eleanor's 14hearts event will include comments or not. Default setting: false."",",This setting lets you choose if Eleanor's 14hearts event will include comments or not. Default setting: false.,"Mit dieser Einstellung können Sie auswählen, ob Eleanors 14hearts-Event Kommentare enthalten soll oder nicht. Standardeinstellung: false.",Esta configuración te permite elegir si el evento 14hearts de Eleanor incluirá comentarios o no. Configuración predeterminada: falso.,Esta configuração permite escolher se o evento 14hearts de Eleanor incluirá comentários ou não. Configuração padrão: falso.,"Этот параметр позволяет вам выбрать, будет ли мероприятие Элеоноры «14 сердец» включать комментарии или нет. Настройка по умолчанию: ложь.",この設定では、エレノアの 14hearts イベントにコメントを含めるかどうかを選択できます。デフォルト設定: false。,通过此设置，您可以选择 Eleanor 的 14hearts 活动是否包含评论。默认设置：假。,Questa impostazione ti consente di scegliere se l'evento 14hearts di Eleanor includerà commenti o meno. Impostazione predefinita: falso.,Ce paramètre vous permet de choisir si l'événement 14hearts d'Eleanor inclura ou non des commentaires. Paramètre par défaut : faux.,이 설정을 사용하면 Eleanor의 14hearts 이벤트에 댓글을 포함할지 여부를 선택할 수 있습니다. 기본 설정: 거짓.,"Bu ayar, Eleanor'un 14hearts etkinliğinin yorum içerip içermeyeceğini seçmenizi sağlar. Varsayılan ayar: yanlış.","Ezzel a beállítással kiválaszthatja, hogy Eleanor 14hearts eseménye tartalmazzon-e megjegyzéseket vagy sem. Alapértelmezett beállítás: false."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// Visual side of Eleanor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.section.Visual side of Eleanor.name: ""Visual side of Eleanor"",",Visual side of Eleanor,Visuelle Seite von Eleanor,Lado visual de Eleanor,Lado visual de Eleanor,Визуальная сторона Элеоноры,エレノアのビジュアル面,埃莉诺的视觉侧面,Lato visivo di Eleonora,Côté visuel d’Eleanor,엘레노어의 시각적 측면,Eleanor'un görsel tarafı,Eleanor vizuális oldala
"config.section.Visual side of Eleanor.description: ""Visual side of Eleanor."",",Visual side of Eleanor.,Visuelle Seite von Eleanor.,Lado visual de Eleanor.,Lado visual de Eleanor.,Визуальная сторона Элеоноры.,エレノアのビジュアル面。,埃莉诺的视觉一面。,Lato visivo di Eleonora.,Côté visuel d'Eleanor.,엘레노어의 시각적 측면.,Eleanor'un görsel tarafı.,Eleanor vizuális oldala.
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.Outfits.name: ""NPC Outfits"",",NPC Outfits,NPC-Outfits,Trajes de PNJ,Trajes de NPCs,Костюмы НПС,NPCの衣装,NPC服装,Abiti da PNG,Tenues de PNJ,NPC 의상,NPC Kıyafetleri,NPC ruhák
"config.Outfits.values.one look only: ""one look only"",",one look only,nur ein Blick,una sola mirada,um olhar apenas,только один взгляд,一度だけ見る,只看一眼,uno sguardo soltanto,un seul regard,한 번만 봐,sadece bir bakış,csak egy pillantást
"config.Outfits.values.vanilla: ""vanilla"",",vanilla,Vanille,vainilla,baunilha,ваниль,バニラ,香草,vaniglia,vanille,바닐라,vanilya,vanília
"config.Outfits.values.seasonal: ""seasonal"",",seasonal,saisonal,estacional,sazonal,сезонный,季節限定,季节性的,stagionale,saisonnier,계절의,mevsimsel,szezonális
"config.Outfits.description: ""= ! EXPERIMENTAL - MIGHT (but shouldn't) RESULT IN NPC WITHOUT SPRITES OR PORTRAITS ! = This setting sets sprites & portraits for Eleanor.  As of 0.9.0-beta.3, it is an experimental feature that would be stable in 0.9.0. Default setting: only one look."",","= ! EXPERIMENTAL - MIGHT (but shouldn't) RESULT IN NPC WITHOUT SPRITES OR PORTRAITS ! = This setting sets sprites & portraits for Eleanor.  As of 0.9.0-beta.3, it is an experimental feature that would be stable in 0.9.0. Default setting: only one look.","= ! EXPERIMENTELL – KÖNNTE (sollte aber nicht) zu einem NPC OHNE SPRITES ODER PORTRÄTS FÜHREN! = Diese Einstellung legt Sprites und Porträts für Eleanor fest.  Ab 0.9.0-beta.3 handelt es sich um eine experimentelle Funktion, die in 0.9.0 stabil wäre. Standardeinstellung: nur ein Blick.","= ! EXPERIMENTAL - ¡PODRÍA (pero no debería) RESULTAR EN NPC SIN SPRITES NI RETRATOS! = Esta configuración establece sprites y retratos para Eleanor.  A partir de 0.9.0-beta.3, es una característica experimental que sería estable en 0.9.0. Configuración predeterminada: solo una mirada.","= ! EXPERIMENTAL - PODE (mas não deveria) RESULTAR EM NPC SEM SPRITES OU RETRATOS! = Esta configuração define sprites e retratos para Eleanor.  A partir da versão 0.9.0-beta.3, é um recurso experimental que seria estável na versão 0.9.0. Configuração padrão: apenas uma olhada.","= ! ЭКСПЕРИМЕНТАЛЬНАЯ - МОЖЕТ (но не должна) ПРИВЕСТИ к появлению NPC БЕЗ СПРАЙТОВ ИЛИ ПОРТРЕТОВ! = Этот параметр устанавливает спрайты и портреты Элеоноры.  Начиная с версии 0.9.0-beta.3, это экспериментальная функция, которая будет стабильной в версии 0.9.0. Настройка по умолчанию: только один взгляд.",= !実験的 - NPC にスプライトやポートレートが表示されない可能性があります (ただし、そうではないはずです)。 = この設定は、エレノアのスプライトとポートレートを設定します。  0.9.0-beta.3 の時点では、これは実験的な機能であり、0.9.0 で安定します。デフォルト設定: 1 回のみの表示。,=！实验 - 可能（但不应该）导致 NPC 没有精灵或肖像！ = 此设置为埃莉诺设置精灵和肖像。  从 0.9.0-beta.3 开始，它是一个实验性功能，在 0.9.0 中将保持稳定。默认设置：仅一看。,"=! SPERIMENTALE - POTREBBE (ma non dovrebbe) RISULTARE IN NPC SENZA SPRITES O RITRATTI! = Questa impostazione imposta sprite e ritratti per Eleanor.  A partire dalla versione 0.9.0-beta.3, è una funzionalità sperimentale che sarebbe stabile nella versione 0.9.0. Impostazione predefinita: un solo sguardo.","= ! EXPÉRIMENTAL - POURRAIT (mais ne devrait pas) RÉSULTAT EN PNJ SANS SPRITES NI PORTRAITS ! = Ce paramètre définit les sprites et les portraits d'Eleanor.  Depuis la version 0.9.0-beta.3, il s'agit d'une fonctionnalité expérimentale qui serait stable dans la version 0.9.0. Paramètre par défaut : un seul regard.","= ! 실험적 - 스프라이트나 초상화 없이 NPC가 나타날 수도 있습니다(그러나 그러면 안 됩니다)! = 이 설정은 Eleanor의 스프라이트와 초상화를 설정합니다.  0.9.0-beta.3 현재, 이는 0.9.0에서 안정될 실험적인 기능입니다. 기본 설정: 한 번만 보세요.",=! DENEYSEL - SPRITES VEYA PORTRELER OLMAYAN NPC'YE SONUÇ OLABİLİR (ama olmamalıdır)! = Bu ayar Eleanor için spriteları ve portreleri ayarlar.  0.9.0-beta.3'ten itibaren 0.9.0'da kararlı olacak deneysel bir özelliktir. Varsayılan ayar: yalnızca bir bakış.,"= ! KÍSÉRLETI – LEHET (de nem szabad) EREDMÉNYE NPC-BEN SPRITES VAGY PORTRÉK NÉLKÜL! = Ez a beállítás sprite-eket és portrékat állít be Eleanor számára.  A 0.9.0-beta.3 verziótól kezdve ez egy kísérleti funkció, amely 0.9.0-ban is stabil lenne. Alapbeállítás: csak egy pillantás."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// Experimental - DoNotChange,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.section.Experimental - DoNotChange.name: ""Experimental - = Do = Not = Change ="",",Experimental - = Do = Not = Change =,Experimentell - = Tun = Nicht = Ändern =,Experimental - = Hacer = No = Cambiar =,Experimental - = Fazer = Não = Mudar =,Экспериментальный - = Делать = Не = Изменять =,実験的 - = 行う = しない = 変更する =,实验性 - = 做 = 不做 = 改变 =,Sperimentale - = Fare = Non = Cambiare =,Expérimental - = Faire = Ne pas = Changer =,실험적 - = 수행 = 안함 = 변경 =,Deneysel - = Yapın = Yapmayın = Değiştirin =,Kísérleti - = Do = Nem = Változás =
"config.section.Experimental - DoNotChange.description: ""Fair warning: If you change anything from these below, you might corrupt your savegame."",","Fair warning: If you change anything from these below, you might corrupt your savegame.","Faire Warnung: Wenn Sie etwas von den folgenden Änderungen ändern, kann es sein, dass Ihr Spielstand beschädigt wird.","Advertencia justa: si cambia algo de lo siguiente, podría dañar su partida guardada.","Aviso justo: se você alterar alguma coisa abaixo, poderá corromper seu jogo salvo.","Предупреждение: если вы измените что-либо из приведенного ниже, вы можете повредить сохраненную игру.",公正な警告: 以下の内容を変更すると、セーブゲームが破損する可能性があります。,公平警告：如果您更改以下内容中的任何内容，您可能会损坏您的保存游戏。,"Giusto avvertimento: se modifichi qualcosa tra quelli riportati di seguito, potresti danneggiare il tuo salvataggio.","Avertissement : si vous modifiez quoi que ce soit parmi les éléments ci-dessous, vous risquez de corrompre votre sauvegarde.",공정한 경고: 아래 항목 중 무엇이든 변경하면 저장 게임이 손상될 수 있습니다.,Adil uyarı: Aşağıdakilerden herhangi birini değiştirirseniz kayıtlı oyununuzu bozabilirsiniz.,"Méltányos figyelmeztetés: Ha bármit megváltoztat az alábbiak közül, megsértheti a mentési játékot."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.On/off.name: ""On/off"",",On/off,Ein/aus,Encendido/Apagado,Ligado/desligado,Вкл./выкл.,オン/オフ,开/关,Acceso/spento,Marche/Arrêt,온/오프,Açık/kapalı,Be/ki
"config.On/off.values.on: ""on"",",on,An,en,sobre,на,の上,在,SU,sur,~에,Açık,-on
"config.On/off.values.safe mode: ""safe mode"",",safe mode,Abgesicherter Modus,modo seguro,modo de segurança,безопасный режим,セーフモード,安全模式,modalità sicura,mode sans échec,안전 모드,güvenli mod,biztonságos módban
"config.On/off.values.off: ""off"",",off,aus,apagado,desligado,выключенный,オフ,离开,spento,désactivé,끄다,kapalı,le
